date,ticker,signal,regime,action,confidence,has_news,realized_1d,realized_3d,realized_5d,resolved,correct
2024-07-19,TXN,BREACH_DOWN,BULL,IGNORE,,False,-3.4053,0.4118,-1.4515,True,1.0
2024-07-22,TXN,BREACH_UP,BULL,LONG,,False,-3.6866,-4.2403,-1.9429,True,0.0
2024-07-23,TXN,BREACH_DOWN,BULL,IGNORE,,False,0.005,-1.866,-1.3616,True,0.0
2024-08-01,TXN,BREACH_DOWN,BEAR,IGNORE,,False,3.0363,3.3001,0.0155,True,1.0
2024-09-03,TXN,BREACH_DOWN,BULL,IGNORE,,False,-1.0752,2.1701,1.0058,True,1.0
2024-10-15,TXN,BREACH_DOWN,BULL,IGNORE,,False,-0.4254,0.6855,2.9374,True,1.0
2024-10-23,TXN,BREACH_UP,BULL,LONG,,False,2.414,2.0274,3.0683,True,1.0
2024-11-06,TXN,BREACH_UP,BULL,LONG,,False,1.1955,0.4187,-4.3029,True,1.0
2025-01-16,TXN,BREACH_DOWN,BULL,IGNORE,,False,-2.6952,-5.1663,0.9874,True,0.0
2025-01-24,TXN,BREACH_DOWN,BULL,IGNORE,,False,-0.8139,2.8299,-0.2454,True,1.0
2025-02-19,TXN,BREACH_UP,BULL,LONG,,False,3.8916,2.2514,0.978,True,1.0
2025-02-20,TXN,BREACH_UP,BULL,LONG,,False,-0.961,-1.9514,-6.2071,True,0.0
2025-03-11,TXN,BREACH_DOWN,BEAR,IGNORE,,False,0.9248,0.5188,-1.1898,True,1.0
2025-04-03,TXN,BREACH_DOWN,BEAR,IGNORE,,False,7.8015,11.078,4.6285,True,1.0
2025-04-04,TXN,BREACH_DOWN,BEAR,IGNORE,,False,-1.724,-11.9625,2.5035,True,0.0
2025-04-09,TXN,BREACH_UP,BEAR,HOLD,,False,-7.6106,-10.9263,-13.5398,True,0.0
2025-05-12,TXN,BREACH_UP,BULL,LONG,,False,0.4912,0.2937,0.566,True,1.0
2025-07-23,TXN,BREACH_DOWN,BULL,IGNORE,,False,0.3007,-1.6107,-1.7557,True,0.0
2025-08-12,TXN,BREACH_UP,BULL,LONG,,False,0.1658,0.8291,1.5391,True,1.0
2025-09-04,TXN,BREACH_DOWN,BULL,IGNORE,,False,-0.3417,1.2067,1.5698,True,1.0
2025-10-10,TXN,BREACH_DOWN,BULL,IGNORE,,False,-1.986,-2.0792,-2.8422,True,0.0
2025-10-22,TXN,BREACH_DOWN,BULL,IGNORE,,False,-0.867,0.7615,6.1215,True,1.0
2025-12-02,TXN,BREACH_UP,BULL,LONG,,False,4.1881,4.1538,2.4307,True,1.0
2026-01-06,TXN,BREACH_UP,BULL,LONG,,False,-3.3264,-0.9318,-1.8584,True,0.0
2026-01-28,TXN,BREACH_UP,BULL,LONG,,False,1.2953,4.7688,3.7957,True,1.0
2026-02-02,TXN,BREACH_UP,BULL,LONG,,False,0.0889,-0.4578,-2.7732,True,0.0
2026-04-08,TXN,BREACH_UP,BULL,LONG,,False,2.9105,3.7386,3.5376,True,1.0
2026-04-23,TXN,BREACH_UP,BULL,LONG,,False,-1.8035,-6.1049,-0.4075,True,0.0
2026-05-26,TXN,BREACH_UP,BULL,LONG,,False,-2.29,-5.9128,,True,0.0
2021-09-21,UBER,BREACH_UP,BEAR,HOLD,,False,1.1497,5.1172,3.6519,True,1.0
2021-11-03,UBER,BREACH_UP,BULL,LONG,,False,-0.9843,0.3718,-5.1181,True,1.0
2022-01-18,UBER,BREACH_DOWN,BEAR,IGNORE,,False,1.4319,6.4306,9.3465,True,1.0
2022-05-09,UBER,BREACH_DOWN,BEAR,IGNORE,,False,-2.6898,-1.0412,-2.3427,True,0.0
2022-08-02,UBER,BREACH_UP,BULL,LONG,,False,3.2137,9.4359,6.188,True,1.0
2022-10-04,UBER,BREACH_UP,BEAR,HOLD,,False,-0.0343,-3.8369,-15.519,True,0.0
2022-10-11,UBER,BREACH_DOWN,BEAR,IGNORE,,False,-5.3528,-0.2028,-11.9627,True,0.0
2022-11-01,UBER,BREACH_UP,BULL,LONG,,False,-3.1597,-4.5714,-7.7647,True,0.0
2022-11-15,UBER,BREACH_UP,BULL,LONG,,False,-4.8464,-8.2673,-11.0548,True,0.0
2023-05-01,UBER,BREACH_UP,BULL,LONG,,False,11.5455,14.5082,18.6011,True,1.0
2023-05-02,UBER,BREACH_UP,BULL,LONG,,False,3.6145,3.368,4.5728,True,1.0
2023-06-15,UBER,BREACH_UP,BULL,LONG,,False,0.369,-1.6144,-0.0461,True,0.0
2023-08-01,UBER,BREACH_DOWN,BULL,IGNORE,,False,-0.6645,3.1083,3.194,True,1.0
2023-09-21,UBER,BREACH_DOWN,BEAR,IGNORE,,False,0.426,0.7399,-3.4529,True,1.0
2023-10-13,UBER,BREACH_DOWN,BEAR,IGNORE,,False,-2.8289,1.104,1.196,True,1.0
2023-11-02,UBER,BREACH_UP,BEAR,HOLD,,False,2.7324,7.401,7.6807,True,1.0
2024-01-02,UBER,BREACH_DOWN,BULL,IGNORE,,False,0.2227,1.3703,-3.2888,True,1.0
2024-02-14,UBER,BREACH_UP,BULL,LONG,,False,2.8301,-3.2217,-1.415,True,0.0
2024-05-08,UBER,BREACH_DOWN,BULL,IGNORE,,False,-2.3042,0.5723,-0.3313,True,1.0
2024-06-06,UBER,BREACH_UP,BULL,LONG,,False,0.5951,1.0014,2.8447,True,1.0
2024-06-12,UBER,BREACH_UP,BULL,LONG,,False,-3.1306,-3.6364,-3.8961,True,0.0
2024-07-11,UBER,BREACH_UP,BULL,LONG,,False,-1.496,1.0472,-9.8871,True,1.0
2024-07-17,UBER,BREACH_DOWN,BULL,IGNORE,,False,3.4392,1.297,3.6141,True,1.0
2024-08-06,UBER,BREACH_UP,BEAR,HOLD,,False,1.0328,5.6575,9.5422,True,1.0
2024-09-13,UBER,BREACH_UP,BULL,LONG,,False,-1.3245,1.4073,2.0143,True,1.0
2024-10-11,UBER,BREACH_UP,BULL,LONG,,False,-1.6215,-5.1425,-8.316,True,0.0
2024-10-31,UBER,BREACH_DOWN,BULL,IGNORE,,False,-1.6655,-2.9146,-1.499,True,0.0
2024-11-18,UBER,BREACH_DOWN,BULL,IGNORE,,False,0.2885,-0.4471,-5.8993,True,0.0
2024-12-05,UBER,BREACH_DOWN,BULL,IGNORE,,False,-1.3184,0.4139,5.8562,True,1.0
2024-12-11,UBER,BREACH_DOWN,BULL,IGNORE,,False,-0.3759,1.5201,-0.0817,True,1.0
2025-02-05,UBER,BREACH_DOWN,BULL,IGNORE,,False,-8.5453,-21.9448,-23.0614,True,0.0
2025-02-06,UBER,BREACH_UP,BULL,LONG,,False,6.5867,9.9443,14.7164,True,1.0
2025-02-07,UBER,BREACH_UP,BULL,LONG,,False,5.4021,6.3673,6.4611,True,1.0
2025-04-03,UBER,BREACH_DOWN,BEAR,IGNORE,,False,7.4875,6.8432,-1.5605,True,1.0
2025-04-04,UBER,BREACH_DOWN,BEAR,IGNORE,,False,-1.5785,-12.4729,-11.8539,True,0.0
2025-04-09,UBER,BREACH_UP,BEAR,HOLD,,False,-2.3941,0.5779,0.5228,True,1.0
2025-05-12,UBER,BREACH_UP,BULL,LONG,,False,4.109,2.3383,4.9489,True,1.0
2025-06-24,UBER,BREACH_UP,BULL,LONG,,False,-0.8183,-0.1309,0.5237,True,0.0
2025-09-17,UBER,BREACH_DOWN,BULL,IGNORE,,False,-1.8827,-6.9285,-5.1963,True,0.0
2025-11-04,UBER,BREACH_DOWN,BULL,IGNORE,,False,2.0281,2.8309,1.1302,True,1.0
2025-11-20,UBER,BREACH_DOWN,BEAR,IGNORE,,False,-0.6118,-0.3959,-5.0144,True,0.0
2025-12-10,UBER,BREACH_DOWN,BULL,IGNORE,,False,-1.5209,2.7329,5.9648,True,1.0
2026-01-06,UBER,BREACH_UP,BULL,LONG,,False,0.7599,-0.1169,-0.152,True,0.0
2026-02-04,UBER,BREACH_DOWN,BULL,IGNORE,,False,-1.7451,0.0135,3.9367,True,1.0
2026-04-15,UBER,BREACH_UP,BULL,LONG,,False,-1.0352,0.2717,-2.1998,True,1.0
2026-05-06,UBER,BREACH_UP,BULL,LONG,,False,-3.082,-3.8146,-5.6461,True,0.0
2021-07-19,UNH,BREACH_DOWN,UNKNOWN,IGNORE,,False,-0.9558,-1.6403,-1.0952,True,0.0
2021-08-05,UNH,BREACH_DOWN,UNKNOWN,IGNORE,,False,-0.9558,-0.1435,1.2719,True,0.0
2021-08-19,UNH,BREACH_UP,BULL,LONG,,False,0.4253,-1.047,-2.5801,True,0.0
2021-09-10,UNH,BREACH_DOWN,BULL,IGNORE,,False,-2.6268,-3.3696,-4.0232,True,0.0
2021-09-13,UNH,BREACH_UP,BULL,LONG,,False,-0.4777,0.5597,-0.4391,True,1.0
2021-10-14,UNH,BREACH_UP,BULL,LONG,,False,1.8341,0.9563,5.2146,True,1.0
2021-12-15,UNH,BREACH_UP,BULL,LONG,,False,-0.3075,-2.1542,-0.0506,True,0.0
2022-01-06,UNH,BREACH_DOWN,BULL,IGNORE,,False,2.3528,0.1384,0.4727,True,1.0
2022-02-25,UNH,BREACH_UP,BEAR,HOLD,,False,0.0252,2.0242,4.8135,True,1.0
2022-05-18,UNH,BREACH_DOWN,BEAR,IGNORE,,False,-1.5211,-4.3914,-5.6664,True,0.0
2022-06-21,UNH,BREACH_UP,BEAR,HOLD,,False,1.9487,3.1895,5.8544,True,1.0
2022-07-15,UNH,BREACH_UP,BEAR,HOLD,,False,-1.9594,-1.9405,-1.5743,True,0.0
2022-09-13,UNH,BREACH_DOWN,BEAR,IGNORE,,False,0.8152,-1.3737,-1.72,True,0.0
2022-11-11,UNH,BREACH_DOWN,BULL,IGNORE,,False,1.5956,2.0227,-1.517,True,1.0
2022-11-30,UNH,BREACH_UP,BULL,LONG,,False,-1.9808,-2.0211,-0.5799,True,0.0
2023-02-02,UNH,BREACH_DOWN,BULL,IGNORE,,False,-0.2527,-1.285,-3.1647,True,0.0
2023-04-03,UNH,BREACH_UP,BULL,LONG,,False,-0.1902,3.7678,5.419,True,1.0
2023-04-05,UNH,BREACH_UP,BULL,LONG,,False,0.703,2.3054,3.3384,True,1.0
2023-04-19,UNH,BREACH_DOWN,BULL,IGNORE,,False,-0.2592,-0.5635,0.6684,True,0.0
2023-06-14,UNH,BREACH_DOWN,BULL,IGNORE,,False,-1.7272,-2.4914,-4.6006,True,0.0
2023-07-14,UNH,BREACH_UP,BULL,LONG,,False,0.8143,4.9003,5.4897,True,1.0
2023-07-18,UNH,BREACH_UP,BULL,LONG,,False,0.74,1.306,2.186,True,1.0
2023-08-31,UNH,BREACH_DOWN,BULL,IGNORE,,False,0.0714,-0.0755,-1.2719,True,0.0
2023-09-20,UNH,BREACH_UP,BEAR,HOLD,,False,1.8308,3.688,2.3571,True,1.0
2023-10-13,UNH,BREACH_UP,BEAR,HOLD,,False,-0.254,-0.6192,-2.2933,True,0.0
2023-11-30,UNH,BREACH_UP,BULL,LONG,,False,-0.7131,-0.1506,-0.5117,True,0.0
2023-12-14,UNH,BREACH_DOWN,BULL,IGNORE,,False,0.584,1.9093,2.6879,True,1.0
2024-01-02,UNH,BREACH_UP,BULL,LONG,,False,0.4988,-0.3634,-0.1798,True,0.0
2024-01-12,UNH,BREACH_DOWN,BULL,IGNORE,,False,0.4525,0.9913,1.6337,True,1.0
2024-01-25,UNH,BREACH_DOWN,BULL,IGNORE,,False,-1.9862,-2.0693,-2.7848,True,0.0
2024-02-28,UNH,BREACH_DOWN,BULL,IGNORE,,False,0.9392,3.2933,5.1537,True,1.0
2024-04-02,UNH,BREACH_DOWN,BULL,IGNORE,,False,-0.3492,0.5239,-0.3449,True,1.0
2024-04-16,UNH,BREACH_UP,BEAR,HOLD,,False,2.154,6.8758,3.6874,True,1.0
2024-05-29,UNH,BREACH_DOWN,BULL,IGNORE,,False,0.6333,-2.6242,-3.796,True,0.0
2024-06-28,UNH,BREACH_UP,BULL,LONG,,False,-2.8689,-3.8035,-3.9116,True,0.0
2024-07-16,UNH,BREACH_UP,BULL,LONG,,False,4.4473,2.9989,1.0622,True,1.0
2024-07-17,UNH,BREACH_UP,BULL,LONG,,False,-1.5595,-2.5729,-2.3601,True,0.0
2024-10-15,UNH,BREACH_DOWN,BULL,IGNORE,,False,-2.7054,-2.3944,-2.4394,True,0.0
2024-11-06,UNH,BREACH_UP,BULL,LONG,,False,1.4681,4.7864,1.5385,True,1.0
2024-11-20,UNH,BREACH_UP,BULL,LONG,,False,-0.5013,0.8876,1.3122,True,1.0
2024-12-05,UNH,BREACH_DOWN,BULL,IGNORE,,False,5.0693,2.0057,10.576,True,1.0
